content_id,issue
1aOr0VJHSHGQEethTeUNFa,Gun Control-Candidate Advertisement-Former Democratic Candidate-Inspirational-Fearful
42AAp94s77DYNgDS8Vg6IH,Climate Change-Corporate Advertisment-Lighthearted
6qviovmH0XYszc8QyWna2Y,Gun Control-Inequality-Corporate Advertisment-Inspirational-Informative
6gRl8mmKFzqSNJQKBOZRsu,The Economy-Jobs-Unemployment-The Military-Trump-Candidate Advertisement-Republican Candidate-Inspirational
23sjrH8RGF038UfLaS3ZDP,Climate Change-Corporate Advertisment-Lighthearted
2ZSfXfc4mZ71U4kB17iTIf,The Military-Trump-Candidate Advertisement-Former Democratic Candidate-Fearful-Inspirational
3l7IQbu3V0q9JKxHvUSDzC,The Economy-Jobs-Automation-Trump-Candidate Advertisement-Former Democratic Candidate-Informative
6ufko1xYmOfUFnVzOaF2by,Inequality-Women-Corporate Advertisment-Lighthearted
5Nol4qLtw8kYPQdhiEkNzl,The Military-Trump-The Economy-Healthcare-Education-Climate Change-Candidate Advertisement-Democratic Candidate-Inspirational-Fearful
4CjhiLqOzQQCi5fwQKppvm,Healthcare-Education-Women-Inequality-Inspirational
5MAXXLbY8v96Hx6T2rMayr,Women-Candidate Advertisement-Former Democratic Candidate-Lighthearted
5E8LMs1nKVPXaYKdh3gCdv,Climate Change-Informative-Inspirational-Fearful
4HyRgSdwjIvYyzV68GPpJB,Impeachment-Trump-News Clip-Fox News-Former Democratic Candidate-Informative-Inspirational-Fearful
3zhRn7SCKyju6RjmGpA8oG,Healthcare-Education-Climate Change-The Economy-Foreign Policy-Criminal Justice Reform-Immigration-Inequality-Candidate Advertisement-Former Democratic Candidate-Inspirational
2sgPsREooHz9Guoy4UFKYn,Impeachment-News Clip-CNN-Informative
1Xi1aULdzixJeL3oGyFKh3,Trump-Election-News Clip-CNN-Informative
3jISyNHNyZiOtDbC2TGgy2,Trump-State of the Union-Nancy Pelosi-News Clip-CNN-Informative