key,value
Angola,383570.347 
Argentina,2004037.238
Australia,2742652.749
Bahamas,199667.886 
Bangladesh,100703.076 
Barbados,67616.076 
Benin,6216.133 
Cabo Verde,1490582.553 
Canada,1076393.902 
China,88737.708 
Cote d'Ivoire,39818.820 
Cuba,1586.928 
Denmark,874312.702
Federated States of Micronesia,142385.443 
Fiji,15472.539 
France,4063790.492
Gabon,38044.900 
Ghana,21437.319
Guinea,1490582.553 
Guinea-Bissau,1490582.553 
Guyana,56869.762 
Iceland,688227.718
India,688458.454
Indonesia,199953.514
Ireland,37175.658 
Japan,439979.239
Kenya,93189.926 
Kiribati,84955.7
Liberia,72966.307
Madagascar,858729.843 
Malaysia,146721.601
Maldives,158937.822
Mauritania,1490582.553 
Mauritius,675140.465
Mexico,23971.677
Micronesia,177623.205
Mozambique,107080.208 
Myanmar,145172.132 
Namibia,1058227.666 
New Zealand,519712.249
Nicaragua,169705.800 
Nigeria,18870.824 
Norway,767990.726
Oman,278542.776 
Pakistan,55560.527 
Palau,243411.183 
Papua New Guinea,177623.205
Philippines,133803.918 
Portugal,3304794.447 
Republic of Korea,19508.907 
Senegal,1490582.553 
Seychelles,412698.792
Sierra Leone,1490582.553 
Solomon Islands,177623.205
Somalia,502505.318 
South Africa,4155080.786
Spain,84209.614 
Spain,332889.994
Sri Lanka,1701667.291 
Suriname,83387.324 
The Cook Islands,407157.520 
The Gambia,1490582.553 
Togo,6216.133 
Tonga,102592.158 
Trinidad and Tobago,133137.362 
Tuvalu,21344.109 
United Kingdom of Great Britain and Northern Ireland,2536696.562
United Republic of Tanzania,59767.996 
Uruguay,89552.684 
Viet Nam,116801.048
Yemen,127170.164 