year,city,value
2012,Hamilton,1.724002
2012,Tauranga,1.73085
2012,Palmerston North,1.534094
2012,Wellington,2.618341
2012,Christchurch,1.902583
2012,Queenstown,2.31462
2012,Auckland,2.480358
2013,Hamilton,1.710646
2013,Tauranga,1.715279
2013,Palmerston North,1.520053
2013,Wellington,2.52119
2013,Christchurch,2.137502
2013,Queenstown,2.12775
2013,Auckland,2.711748
2014,Hamilton,1.697487
2014,Tauranga,1.735434
2014,Palmerston North,1.493198
2014,Wellington,2.515387
2014,Christchurch,2.050773
2014,Queenstown,2.326956
2014,Auckland,2.884561
2015,Hamilton,1.858228
2015,Tauranga,1.953395
2015,Palmerston North,1.431058
2015,Wellington,2.510296
2015,Christchurch,1.960725
2015,Queenstown,2.326798
2015,Auckland,3.328215
2016,Hamilton,2.230925
2016,Tauranga,2.30398
2016,Palmerston North,1.517878
2016,Wellington,2.794279
2016,Christchurch,1.917323
2016,Queenstown,3.083883
2016,Auckland,3.683606
2012,NZ,2.072585
2013,NZ,2.194391
2014,NZ,2.264715
2015,NZ,2.498475
2016,NZ,2.905786