Year,CO2,biomassloss,threshold10,threshold15,threshold20,threshold25,threshold30,threshold50,threshold70
2001,36.61,19.97,145211,141129,129972,128225,122711,94921,17555
2002,42.32,23.08,177066,170673,154598,152226,144560,111569,20976
2003,24.8,13.53,104455,102069,92051,90776,86282,64599,8465
2004,13.69,7.47,70813,65956,54849,52986,48048,34582,6177
2005,17.1,9.33,104545,97894,78831,75456,65321,38279,2838
2006,27.68,15.1,136028,125758,107951,105373,97781,69245,9535
2007,25.66,14,128810,122051,103592,100812,90865,61084,8791
2008,35.22,19.21,183456,168653,140330,137212,127555,87928,9873
2009,32.85,17.92,128510,124467,114163,112856,108876,84306,10492
2010,26.91,14.68,127562,115888,101384,98980,92492,69137,12036
2011,37.12,20.25,161016,151587,133536,131284,124683,96297,16292
2012,28.22,15.39,111601,108734,102177,100966,96129,74344,12204
2013,45.71,24.94,249585,241154,205699,199439,175759,106061,3879
2014,84.74,46.22,426865,420871,388253,381059,346793,187644,12484
2015,38.26,20.87,207530,202586,176590,171866,152432,86549,5270
2016,52.04,28.38,298380,292129,258841,252082,221100,107505,6998
2017,82.27,44.87,527274,513932,433462,418332,357273,163631,5783
2018,78.96,43.07,463621,447798,380665,369414,324740,163106,10442