Country,Ton,Continent,Tons
Ivory Coast,"2,220,000",Africa,2220
Ghana,"815,000",Africa,815
Ecuador,"315,000",South America,315
Cameroon,"280,000",Africa,280
Nigeria,"250,000",Africa,250
Indonesia,"220,000",Asia,220
Brazil,"175,686.40",South America,175.6864
Peru,"130,000",South America,130
Dominican Republic,"75,000",North America,75
Colombia,"60,000",South America,60
Papua New Guinea,"40,000",Oceania,40
Uganda,"35,000",Africa,35
Mexico,"30,000",North America,30
Venezuela,"25,000",South America,25
India,"20,000",Asia,20
Sierra Leone,"15,000",Africa,15
Tanzania,"15,000",Africa,15
Democratic Republic of the Congo,"13,000",Africa,13
Liberia,"12,000",Africa,12
Madagascar,"11,000",Africa,11
Guinea,"10,000",Africa,10
Togo,"10,000",Africa,10
Philippines,"10,000",Asia,10
Nicaragua,"6,994.51",North America,6.99451
Haiti,"5,000",North America,5
Solomon Islands,"5,000",Oceania,5
Republic of Congo,"4,000",Africa,4
Sao Tome and Principle,"4,000",Africa,4
Malaysia,"3,000",Asia,3
Vietnam,"3,000",Asia,3
Bolivia,"2,000",South America,2
Vanuatu,"2,000",Oceania,2
Cuba,"1,500",North America,1.5
Equatorial Guinea,"1,000",Africa,1
Thailand,"1,000",Asia,1
Dominica,"1,000",North America,1
Honduras,"1,000",North America,1
Panama,"1,000",North America,1
Grenada,800,North America,0.8
Sri Lanka,654,Asia,0.654
Costa Rica,550,North America,0.55
Guatemala,500,North America,0.5
Jamaica,500,North America,0.5
Trinidad and Tobago,500,North America,0.5
Belize,100,North America,0.1
Fiji,100,Oceania,0.1