country,kilograms,continent
Switzerland,8.8,europe
Austria,8.1,europe
Germany,7.9,europe
Ireland,7.9,europe
Great Britain,7.6,europe
Sweden,6.6,europe
Estonia,6.5,europe
Norway,5.8,europe
Poland,5.7,europe
Belgium,5.6,europe
Finland,5.4,europe
Slovakia,5.2,europe
Netherlands,5.1,europe
New Zealand,5,europe
Denmark,4.9,europe
Australia,4.9,oceania
Czech Republic,4.9,europe
Russia,4.8,europe & asia
United States,4.4,north america
France,4.3,europe
Brazil,1.2,south america
Japan,1.2,asia
South Africa,0.9,africa
China,0.1,asia